“如何获取优惠券”,优惠券在哪,1
多长时间能批复,不是号称闪电放款吗,1
银行卡转入的时候显示失败,人家都使用了快一年了，没有碰到过转帐出错这种事，发生这种事可找谁？怎么找？,0
为什么提示无法借钱，要达到什么条件才可以借款,24小时都可以借款吗,0
…我想问如果获得微粒贷,3如何获得微粒贷借款资格 如何获得微粒贷借款资格,1
可以开证明，证明已还款吗？,我这边需要结清证明,1
我换卡了,换卡 有人吗,1
多长时间才能批下来,款以到帐,0
如果卡内未能及时存钱，延期怎么办,如果逾期了，可以申请延迟还款吗？,1
为什么我被选中却没有额度,为什么说我无法查询额度的？,0
电话未接通？,那怎么显示我接不到电话呢,0
不用钱要收年费或其他费用吗？,你好！如果1万分5期，三天后还完，扣多少钱呢？,0
18000日息多少一天,36000的款一个月息是多少？,0
我提前还款了还可以再借吗,我提前还款了也需要,0
能不能推迟一天,申请延迟一天,0
别人也找不到,你怎么没汇款,0
为何我没微粒贷,为什么没有微粒贷入口,0
全部还款多久可以在借款,为何还款之后不能在借,0
怎么修改还款银行帐号,怎么能改还款的银行卡呢,1
我怎么没有微粒贷,请问 怎么我没微粒贷？,1
打开钱包没有微立贷,qq里面没有微粒贷,1
借款几日下款,也没到帐,0
申请结清证明,结清凭证,1
现在还有领取优惠券的活动吗？,目前借款有没有优惠券？,1
解除,为什么开通不了，说银行卡或手机号码不对？明明都是对的啊,0
电话确认一般多久打过来,一般确认电话要多久？,1
一般多久打电话,电话确认要等多久啊。,1
如何使用,怎么用,1
不是金钱,收益不是每天都有吗,0
用其它银行卡可还款吗,我原来的银行卡没有了欠的款还没有还清可以换别的银行卡继续换吗,1
换手机也没用,已经在银行换了新预留号码。,1
一直用微信付款流水也很大,QQ登陆不上去，微信可以还款嘛？,0
客服在吗 我经常用微信支付，为什么还是没有额度，客服 我没有额度,开通 额度,0
获取更多菜单,过去更多菜单,1
要是全额还款还算利息吗,还款只能分期吗？不能一个月或者几天全部还款？,0
为啥失败了？,申请老是失败为何,0
我昨天借的，但是又没用了，我今天可以还吗？,我昨天应该还款的，忘记了，今天你们还会继续扣钱吗,0
微众银行的定期存款是和普通银行的整存整取一样没有风险的吗,5年定期存款,0
借款 可以提现嘛？,你好，可以提取现金吗？,1
未满足微众银行的审批,怎样满足微众银行审批要求,0
